rule_id,rule_version,rule_text,input_category,recommended_category,applicable_query_categories,required_context,query_terms,candidate_terms,scenario_label,gender_context,formality_level,occasion_tags,season_tags,source_type,source_title,source_author_or_org,source_year,source_url_or_reference,source_locator,source_access_date,source_validation_status,source_reliability,evidence_summary,rule_scope,rule_limitations,audit_status,supersedes_rule_ids
K011,2,"A tank or camisole works best with bottoms that give it either structure or deliberate ease. Wide-leg or tailored trousers make a simple tank look polished, denim keeps it casual, and a midi skirt can move the same top toward dinner; for hot-weather daytime dressing, tailored or relaxed shorts are practical. Because the upper body is visually minimal, the bottom can carry more volume, texture, or colour without overwhelming the outfit.",tops,bottoms,tops,none,tank|tank top|camisole|silk tank|sleeveless top,wide leg trouser|wide-leg trouser|tailored trouser|tailored trousers|midi skirt|maxi skirt|jeans|shorts|bottom,tank_bottom_balance,general,casual to evening,summer|holiday|dinner|daytime,spring|summer,fashion_editorial,11 Heeled Sandal Outfits Perfect for Spring and Summer,Vogue,2026,https://www.vogue.com/article/heeled-sandal-outfits,sections pairing heeled sandals with clutch crossbody tote and shoulder bags,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source repeatedly pairs tanks and camisoles with trousers, skirts and summer footwear; the proportion and occasion guidance is bounded enrichment.","Tanks and camisoles; bottoms that add structure, volume or polish.","The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R095
K012,2,"With knitwear, use the bottom to control texture and bulk. A fine knit works with tailored trousers, skirts, or straight jeans for office and smart casual; a chunky sweater is better balanced by straighter jeans, leather trousers, or a simpler skirt rather than equally bulky bottoms. Tucking only the front or choosing a higher-rise waist can restore shape when the knit is loose, while smooth bottoms create a useful contrast against heavy texture.",tops,bottoms,tops,none,sweater|knit|knitwear|cardigan|jumper|crewneck knit|turtleneck,jeans|denim|trouser|trousers|leather trouser|leather trousers|skirt|midi skirt|wide leg trouser|bottom,knit_bottom_texture,general,casual to smart casual,office|weekend|autumn day|dinner,autumn|winter|spring,fashion_editorial,How Vogue's Shopping Editor Is Styling Trousers For Autumn,British Vogue,2024,https://www.vogue.co.uk/article/how-to-style-trousers-for-autumn,Leather bomber jacket + statement trousers + kitten heels section,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,The source styles knitwear with leather and tailored trousers and discusses autumn layering; the bulk-management guidance is bounded enrichment.,"Sweaters, cardigans and knitwear; bottoms selected by knit thickness and texture.","The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R094
K013,2,"When the top is already patterned, embellished, or strongly coloured, keep the bottom calmer unless intentional print mixing is the goal. Straight jeans, black or neutral trousers, a solid skirt, or simple shorts let the top remain the focal point; for evening, use a smooth satin or tailored bottom in one colour pulled from the print. A quieter lower half reduces visual competition and makes colour relationships easier to control.",tops,bottoms,tops,none,printed top|patterned top|floral top|embellished top|statement blouse|graphic top,plain trouser|plain trousers|jeans|denim|solid skirt|black skirt|neutral trouser|bottom,statement_top_bottom_restraint,general,casual to evening,daytime|date|event|streetwear,all,education_editorial,How to Match Clothes Using the Color Wheel,MasterClass,2021,https://www.masterclass.com/articles/how-to-match-clothes-using-the-color-wheel,sections on neutrals and colour-wheel schemes,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,The source explains controlled colour relationships and avoiding chaotic combinations; the garment-specific styling guidance is bounded enrichment.,"Patterned, embellished or strongly coloured tops; restrained bottoms.","The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R097
K014,2,"Sneakers can support several bottom shapes, but the silhouette should acknowledge the shoe. Straight or relaxed jeans and shorts are easy casual choices; low-profile sneakers work well with pleated or wide-leg trousers when the hem does not swallow the shoe; refined leather trainers can also sit with chinos for smart casual. If the sneaker is very chunky, slightly fuller denim or a straighter leg usually looks more proportional than an extremely narrow hem.",shoes,bottoms,shoes,none,sneaker|sneakers|trainer|trainers|chunky sneaker|low profile sneaker|low-profile sneaker,jeans|denim|chino|chinos|wide leg trouser|wide-leg trouser|pleated trouser|shorts|skirt|bottom,sneaker_bottoms,general,casual to smart casual,weekend|travel|smart casual|daytime,all,fashion_editorial,9 Summer Sneaker Outfits to Wear All Season Long,Vogue,2026,https://www.vogue.com/article/summer-sneaker-outfits,sections With a Mini Dress and Basket Bag and Baggy Jeans with a Cool-Girl Button-Up,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source shows sneakers with skirts, jeans and tailored separates; the shoe-volume rationale and chinos extension are bounded enrichment.",Sneakers and trainers; bottoms chosen to expose or balance footwear volume.,"The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R092
K015,2,"A T-shirt can support almost any casual shoe, so choose footwear to set the outfit's level of polish. Sneakers keep it relaxed, loafers or ballet flats make it cleaner, ankle boots add weight for cooler weather, and pumps or kitten heels can deliberately dress up a simple tee. The shoe should usually be the stronger formality signal, while the T-shirt remains the neutral base that lets the rest of the outfit change context.",tops,shoes,tops,none,t-shirt|t shirt|tee|white tee|graphic tee,sneaker|sneakers|trainer|trainers|loafer|loafers|flat|flats|pump|pumps|heel|heels|boot|boots|shoe|shoes,tee_shoe_formality,general,casual to smart casual,weekend|streetwear|brunch|daytime,all,fashion_editorial,The Best T-Shirt and Trouser Pairings for This Season’s Most Laidback Trend,Vogue,2021,https://www.vogue.com/article/t-shirt-outfits,opening paragraphs on classic T-shirts with tailored and loose trousers,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source shows T-shirts styled with sneakers, heels and polished separates; the explicit shoe-by-occasion framework is bounded enrichment.",T-shirts and tees; footwear used to move the outfit between casual and polished.,"The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R007
K016,2,"With a crop top, let the shoes reinforce the occasion rather than exaggerating the exposure. Sneakers, flats, or sandals work for daytime and casual wear; wedges or low heels can make the outfit feel more intentional for brunch or evening; ankle boots add balance in cooler weather. If the top is very minimal, a shoe with some structure or texture helps anchor the outfit, while extremely ornate footwear can make a revealing top feel over-styled.",tops,shoes,tops,none,crop top|cropped top|cropped shirt|bralette,sneaker|sneakers|sandal|sandals|wedge|wedges|pump|pumps|heel|heels|boot|boots|flat|flats|shoe|shoes|trainer|trainers,crop_top_shoes,general,casual to smart casual,weekend|summer|night out|daytime,spring|summer|all,fashion_editorial,Does an Office-Appropriate Crop Top Exist?,Vogue,2019,https://www.vogue.com/vogueworld/article/how-to-wear-crop-tops-to-the-office-summer-fashion,Hide in High-Waisted section,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,The source treats crop tops across off-duty and office-adjacent styling; footwear choices and anchoring rationale are bounded enrichment.,Cropped tops; shoes chosen to anchor formality and season.,"The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R009|R010
K017,2,"A button-down can shift from casual to business simply by changing the shoes. Minimal sneakers keep it relaxed, loafers or Derbys create smart casual, polished boots work in cooler months, and pumps or slingbacks give womenswear a sharper office or dinner finish. Keep sports footwear clean and low-key when the shirt is tailored; the more formal the shoe, the less the rest of the outfit needs extra decoration.",tops,shoes,tops,none,button-down|button down|button-up|button up|dress shirt|oxford shirt|white shirt,loafer|loafers|oxford|oxfords|brogue|brogues|sneaker|sneakers|trainer|trainers|pump|pumps|boot|boots|shoe|shoes,shirt_shoe_formality,general,smart casual to business,office|smart casual|dinner|weekend,all,fashion_editorial,What Is Business Casual? The GQ Guide to Dressing for Work and Beyond,GQ,2025,https://www.gq.com/story/business-casual-attire-for-men-explained,business-casual wardrobe sections on blazers shirts and knitwear,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,The source supports shirts with smart casual and business footwear; the gender-inclusive shoe alternatives and formality ladder are bounded enrichment.,Button-down and dress shirts; shoes determine smart-casual to business level.,"The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R013
K018,2,"Knitwear works with both soft and structured shoes, so use texture and silhouette to choose. Sneakers or chunky boots suit relaxed sweaters, loafers and ballet flats sharpen fine knits, and ankle boots or pumps can move a fitted knit toward work or dinner. When the knit is very heavy, a shoe with some visual substance prevents the lower half from looking too delicate; with fine-gauge knitwear, cleaner low-profile shoes usually feel more balanced.",tops,shoes,tops,none,sweater|knit|knitwear|cardigan|jumper|turtleneck,loafer|loafers|flat|flats|sneaker|sneakers|boot|boots|ankle boot|ankle boots|pump|pumps|shoe|shoes,knit_shoes,general,casual to smart casual,office|weekend|autumn day|dinner,autumn|winter|spring,fashion_editorial,The Wardrobe Essentials We’re Wearing in 2026,Vogue,2026,https://www.vogue.com/article/vogue-wardrobe-essentials-guide,lines 305-369 show tops combined with pants skirts and jeans,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,The source treats knitwear and classic footwear as wardrobe staples; the texture-weight matching principle is bounded enrichment.,"Sweaters, cardigans and knitwear; shoes matched to knit weight and occasion.","The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R015|R093
K019,2,"A tank or camisole leaves the outfit visually light, so shoes can set the tone clearly. Flat sandals and sneakers suit daytime, wedges and espadrilles work for holiday or brunch, and pumps or heeled sandals take a silk or refined tank into evening. Because the top is minimal, footwear with texture, colour, or a strong shape can add interest without competing with another major statement piece.",tops,shoes,tops,none,tank|tank top|camisole|silk tank|sleeveless top,sandal|sandals|wedge|wedges|flat|flats|sneaker|sneakers|pump|pumps|heel|heels|shoe|shoes,tank_shoes,general,casual to evening,summer|holiday|brunch|dinner,spring|summer,fashion_editorial,11 Heeled Sandal Outfits Perfect for Spring and Summer,Vogue,2026,https://www.vogue.com/article/heeled-sandal-outfits,sections pairing heeled sandals with clutch crossbody tote and shoulder bags,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source repeatedly pairs tanks with sandals, wedges and summer separates; the day-to-evening shoe ladder is bounded enrichment.",Tanks and camisoles; footwear establishes daytime versus evening tone.,"The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R018
K020,2,"When the top is explicitly formal, the shoes should preserve that dress code. Patent or highly polished formal shoes suit black-tie menswear; pumps, stilettos, elegant kitten heels, or refined flats work with formal womenswear separates; sleek loafers can suit less rigid cocktail or formal-daytime settings. Avoid athletic trainers or heavily distressed casual footwear unless the event itself permits a deliberate high-low styling choice.",tops,shoes,tops,none,formal shirt|evening shirt|silk blouse|dress blouse|tuxedo shirt,formal shoe|formal shoes|patent shoe|patent shoes|pump|pumps|stiletto|stilettos|kitten heel|kitten heels|loafer|loafers|shoe|shoes,formal_top_shoes,general,formal to black tie,wedding|formal dinner|black tie|evening,all,fashion_editorial,The Vogue Guide To A Black-Tie Dress Code,British Vogue,2025,https://www.vogue.co.uk/article/black-tie-dress-code,lines 71-77 and 244-250 on formal evening expectations,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,The source explains black-tie and formal dress expectations; less rigid cocktail alternatives are bounded enrichment.,Formal shirts and blouses; footwear that respects formal dress codes.,"The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R014
K021,2,"Jeans can move through several shoe categories, but the cut matters. Straight or relaxed denim works with sneakers, loafers, boots, or pumps; baggy jeans need enough shoe presence that the hem does not swallow the footwear; skinny jeans integrate easily with knee-high boots; and cropped denim is especially useful with flats or ankle boots. Choose sneakers for casual wear, loafers for polish, and heels or pointed boots when you want denim to feel dressed up.",bottoms,shoes,bottoms,none,jeans|denim|straight jean|straight-leg jean|wide leg jean|wide-leg jean|baggy jean|skinny jean,sneaker|sneakers|trainer|trainers|loafer|loafers|boot|boots|pump|pumps|heel|heels|flat|flats|shoe|shoes,denim_shoes_multi_occasion,general,casual to smart casual,weekend|streetwear|dinner|daytime,all,fashion_editorial,The Wardrobe Essentials We’re Wearing in 2026,Vogue,2026,https://www.vogue.com/article/vogue-wardrobe-essentials-guide,lines 305-369 show tops combined with pants skirts and jeans,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source explicitly notes jeans working with white sneakers, heels and heeled boots; fit-specific shoe guidance is bounded enrichment.",Jeans and denim; shoes chosen by denim cut and desired formality.,"The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R005|R029
K022,2,"A T-shirt is neutral enough to support several outerwear directions. Use a denim jacket or bomber for casual weekends, a leather jacket for stronger streetwear, and a blazer to make a plain tee smart-casual; in colder weather, a clean long coat can sit over the same base. The simpler the tee, the more formal or textured the outer layer can be, which makes the jacket—not the T-shirt—the deliberate styling signal.",tops,outerwear,tops,none,t-shirt|t shirt|tee|white tee|graphic tee,denim jacket|jean jacket|bomber|bomber jacket|leather jacket|blazer|coat|outerwear|jacket,tee_outerwear,general,casual to smart casual,weekend|streetwear|smart casual|daytime,all,fashion_editorial,The Best T-Shirt and Trouser Pairings for This Season’s Most Laidback Trend,Vogue,2021,https://www.vogue.com/article/t-shirt-outfits,opening paragraphs on classic T-shirts with tailored and loose trousers,2026-08-21,verified_reachable_2026-08-21_plus_bounded_model_enrichment,medium,"The source shows T-shirts under leather, tailoring and casual layers; the full outerwear ladder and rationale are bounded enrichment.",T-shirts and tees; outerwear determines final formality.,"The cited source supports the core styling direction; contextual alternatives, rationale, and transfer to closely related item types are bounded model-enriched fashion guidance. Do not infer hidden item attributes that are not explicit in the case or rule.",rebuilt_v2_substantive_expert_rule,R108
